auditee_uei,Count,CountDistinct_audit_year,Right_CountDistinct_audit_year,CountDistinct_report_id,First_auditee_city,First_auditee_ein,First_auditee_name,First_auditee_state,First_auditee_zip,First_cognizant_agency,First_entity_type,Max_audit_year,Right_Max_audit_year,Right_Min_audit_year,Min_audit_year,Sum_going_concern_num,Sum_internal_control_def_num,Sum_low_risk_num,Sum_material_weakness_gen_num,Sum_material_weakness_number,Sum_modified_opinion_number,Sum_noncompliance_num,Sum_prior_findings_num,Sum_questioned_costs_number,Sum_repeat_finding_number,Sum_significant_deficiency_number,Sum_total_amount_expended_num,is_problem_entity,risk_score
V9EJV18MULG6,1,2,1,2,Linesville,266000401,"Linesville Borough, Crawford County",PA,16424,,local,2024,2023,2023,2023,0,0,0,0,0,0,0,0,0,0,1,5332079,0,10
LDZ1WVHC8BM5,5,3,3,3,MILPITAS,941751440,SEMI,CA,95035,,non-profit,2024,2024,2022,2022,0,0,0,0,2,0,0,0,0,0,0,34379366,1,50
HJMKEF7EJW69,1052,3,2,3,CLEVELAND,341018992,CASE WESTERN RESERVE UNIVERSITY,OH,441067015,93,higher-ed,2024,2024,2022,2022,0,0,0,0,0,0,0,0,0,2,0,1759990792,1,10520
GDBHQHLHRQ77,1,3,1,3,BLUFFTON,356000213,WELLS COUNTY,IN,46714,,local,2024,2022,2022,2022,0,0,0,0,1,1,0,0,0,0,0,10855198,0,10
M47JBEFXL969,1,4,1,4,KNOB NOSTER,446003148,KNOB NOSTER R-VIII SCHOOL DISTRICT,MA,65336,,local,2025,2022,2022,2022,0,0,0,0,0,0,0,0,1,1,1,46536233,0,10
JQKXVEHWRGD1,36,3,3,3,PLAINVIEW,751945844,"PLAINVIEW SERENITY CENTER, INC.",TX,79072,,non-profit,2024,2024,2022,2022,0,0,0,0,36,28,0,0,18,28,0,4334294,1,360
S4AJQNVFDGC8,2,3,2,3,Baytown,743217847,"Hands of Healing Residential Treatment Center, Inc.",TX,77520,,non-profit,2024,2024,2022,2022,0,0,0,0,0,1,0,0,0,0,2,38491286,0,20
GGULMZE6T2F8,3,3,2,3,NEWPORT,936002222,CITY OF NEWPORT,OR,97365,,local,2024,2023,2022,2022,0,0,0,0,0,0,0,0,0,1,2,5684106,1,30
C52BZMKMJ391,1,3,1,3,BAGLEY,416005779,CLEARWATER COUNTY,MN,56621,,local,2024,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,1,6061547,0,10
QGZFKNWNHGV1,13,2,2,2,Denver,742426085,Inner City Health Center,CO,80205,,non-profit,2024,2024,2022,2022,0,0,0,0,11,9,0,0,2,0,2,6522999,1,130
R24MZQL2U4E9,2,1,1,1,Euless,264829432,6 Stones Mission Network,TX,76039,,non-profit,2023,2023,2023,2023,0,0,0,0,0,0,0,0,0,0,2,2127339,0,20
PST5FHDPLZT4,4,3,1,3,Columbus,452399965,NCR Permanent Supportive Housing Services,OH,43220,,non-profit,2024,2022,2022,2022,0,0,0,0,4,0,0,0,0,4,0,4391584,1,40
HENNSC3356N3,2,3,1,3,WEST POINT,476002062,WEST POINT PUBLIC SCHOOLS,NE,68788,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,2,2,4453521,0,20
MS6NQ8MFY744,3,3,1,4,Buxton,016005667,Regional School Unit No. 6,ME,04093,,local,2024,2023,2023,2022,0,0,0,0,3,0,0,0,0,0,0,21589269,1,30
FMJGRH7NFLA4,4,3,1,3,Tacoma,910573106,Goodwill of the Olympics & Rainier Region,WA,98409,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,4,15110249,1,40
KWGKUD5M2MC3,3,3,1,3,PHOENIX,860600437,ST. JOSEPH THE WORKER,AZ,85002,,non-profit,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,3,4997983,1,30
JC5MAGJ32DW7,7,3,3,3,WILBRAHAM,043538884,FALCON HOUSING CORPORATION 023-EE-122,MA,01095,,non-profit,2024,2024,2022,2022,0,0,0,0,0,0,0,0,0,2,0,15436236,1,70
F1NVBNPU2WJ8,2,3,1,3,EVANSVILLE,310971740,"COMMUNITY COORDINATED CHILD CARE OF SOUTHERN INDIANA, INC.",IN,47713,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,0,3773768,0,20
WWU7L1W8MSD1,2,3,1,3,NASHVILLE,620968273,"OASIS CENTER, INC.",TN,37203,,non-profit,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,2,10326726,0,20
MYF7YFW4V2L4,2,3,2,3,PIEDMONT,630459291,HOUSING AUTHORITY OF THE CITY OF PIEDMONT,AL,36272,,local,2024,2023,2022,2022,0,0,0,0,0,0,0,0,0,1,0,3707792,0,20
JL8GKB2LKVT6,1,3,1,3,CHARLESTON,550709223,"CABIN CREEK HEALTH SYSTEMS, INC.",WV,25304,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,1,21545924,0,10
HYQ8HT5L8SV4,46,3,3,3,San Juan,660654313,Centro Comprensivo de Cáncer de la Universidad de Puerto Rico,PR,00936,,local,2024,2024,2022,2022,0,0,0,0,0,0,0,0,0,46,0,18602180,1,460
GUXZE7AYBMS1,4,3,1,3,Deposit,156002190,Deposit Central School District,NY,13754,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,4,0,5440119,1,40
GMWLJPQGQXL4,10,2,2,2,BELCOURT,450343165,TURTLE MOUNTAIN PUBLIC UTILITIES COMMISSION,ND,58316,,tribal,2023,2023,2022,2022,0,0,0,0,0,0,0,0,2,4,10,4671861,1,100
N4U8RK1C4BW4,2,3,1,3,Baltimore,521212473,Baltimore Civic Fund,MD,21201,,non-profit,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,2,2,24148325,0,20
MWWLGLEQYSN8,5,3,2,3,NORTHFIELD,262852506,NORTHFIELD HEALTHY COMMUNITY INITIATIVE,MN,55057,,non-profit,2024,2023,2022,2022,0,0,0,0,0,0,0,0,2,0,5,3111290,1,50
NKF5HVBC2L68,1,3,1,3,ROCHESTER,160746864,ST. JOHN FISHER COLLEGE AND SUBSIDIARIES,NY,14618,,higher-ed,2024,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,1,141369560,0,10
EJWHFWFKLG89,7,3,1,3,IDA,386002800,IDA PUBLIC SCHOOLS,MI,48140,,local,2024,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,7,4156571,1,70
SB9CFLT68PA3,1,1,1,1,PONCE,660589727,"SAINT LUKE'S MEMORIAL HOSPITAL, INC.",PR,007332031,,non-profit,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,0,869102,0,10
WCY7YZTBWKN5,4,1,1,1,JURUPA VALLEY,452260785,CITY OF JURUPA VALLEY,CA,92509,,local,2022,2022,2022,2022,0,0,0,0,4,0,0,0,0,0,0,2371841,1,40
MSJQGPC8SDF1,6,3,3,3,MUSKEGON,386006063,HEALTHWEST,MI,49442,,local,2024,2024,2022,2022,0,0,0,0,0,0,0,0,1,2,6,18328888,1,60
YLWJM1ZST266,1,1,1,1,Bloomfield,426006219,Davis County Hospital,IA,52537,,local,2023,2023,2023,2023,0,0,0,0,1,1,0,0,0,0,0,996004,0,10
JBGPMMN8KL23,3,1,1,1,Geraldine,816001266,Town of Geraldine,MT,59446,,local,2022,2022,2022,2022,0,0,0,0,3,0,0,0,0,3,0,1870023,1,30
SLJCQJNLCYY5,3,1,1,1,Reading,412165262,Goggle Works,PA,19601,,non-profit,2023,2023,2023,2023,0,0,0,0,0,0,0,0,0,0,3,980421,1,30
XXJEBCB6CVM9,1,2,1,2,CARY,581567854,"MEDICAL REV. OF N.C., INC. DBA THE CAROLINAS CTR FOR MED. EXCELLENCE",NC,27518,,non-profit,2025,2025,2025,2022,0,0,0,0,0,0,0,0,0,0,1,1919263,0,10
WZ3XJPNFUL58,1,1,1,1,SCRANTON,240795495,UNIVERSITY OF SCRANTON,PA,185102429,84,higher-ed,2022,2022,2022,2022,0,0,0,0,0,0,0,0,1,0,0,51561841,0,10
NWNYH8VQ93Z6,9,4,2,4,Mogadore,346001913,Mogadore Local School District,OH,44260,,local,2024,2022,2021,2021,0,0,0,0,9,9,0,0,0,4,0,3760801,1,90
Q5KBWKNWYSW6,1,3,1,3,CARROLLTON,346000519,CARROLL COUNTY,OH,44615,,local,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,1,17114608,0,10
ZYGRP7BPXSN5,2,3,2,3,HOUMA,720768043,"INTER-TRIBAL COUNCIL OF LOUISIANA, INC.",LA,703635705,,tribal,2024,2023,2022,2022,0,0,0,0,0,0,0,0,1,0,2,12192441,0,20
QDEKVMTFHVL9,3,2,1,2,San Diego,800516550,United Women East Africa Support Team,CA,92115,,non-profit,2023,2022,2022,2022,0,0,0,0,1,1,0,0,0,0,2,2097637,1,30
S2EBJLE68QJ9,4,3,2,3,CRANDON,900923455,SOKAOGON CHIPPEWA HOUSING AUTHORITY,WI,545208820,,tribal,2024,2023,2022,2022,0,0,0,0,3,3,0,0,0,3,1,4267611,1,40
KLFPB287QZ54,1,2,1,2,Binghamton,222209064,Metro Plaza Apartments Inc.,NY,13903,,non-profit,2024,2023,2023,2023,0,0,0,0,0,0,0,0,1,0,0,2863872,0,10
JJGVMV1FLMU8,5,2,2,2,SLOAN,426049180,WESTWOOD COMMUNITY SCHOOL DISTRICT,IA,51055,,local,2024,2024,2022,2022,0,0,0,0,5,0,0,0,0,0,0,2095264,1,50
U5MMBAC9XAM5,6,3,3,3,Daytona Beach,590936101,Embry-Riddle Aeronautical University,FL,32114,84,higher-ed,2024,2024,2022,2022,0,0,0,0,0,0,0,0,0,2,6,449088253,1,60
KM9SY68VY716,23,2,1,2,Polson,816000545,Polson School District,MT,59860,,local,2024,2023,2023,2023,0,0,0,0,0,0,0,0,0,23,0,15458939,1,230
W9GHPK4T7JX6,2,3,1,3,ROSEBURG,931070304,"UMPQUA COMMUNITY HEALTH CENTER, INC. DBA AVIVA HEALTH",OR,97470,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,2,45034607,0,20
D7MYJHHZ18F6,2,2,2,2,NEW YORK,133947331,LUCILLE CLARK HOUSING DEVELOPMENT CORPORATION,NY,10029,,non-profit,2023,2023,2022,2022,0,0,0,0,2,2,0,0,1,1,0,14819898,0,20
Z1SEMRBAPDR3,1,3,1,3,DOWAGIAC,386004607,CITY OF DOWAGIAC,MI,49047,,local,2024,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,1,8586804,0,10
PZV3REM4J9U8,1,3,1,3,MERRILLVILLE,352104146,"AHEPA 78 PHASE IV, INC.",IN,46410,,non-profit,2024,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,1,12085879,0,10
D3KNY3R2ALY6,3,1,1,1,SIOUX FALLS,237072116,SOUTH DAKOTA ACHIEVE,SD,57105,,unknown,2022,2022,2022,2022,0,0,0,0,3,1,0,0,0,0,0,1193972,1,30
KNX6LNTLFDZ4,1,1,1,1,EVANSTON,361707667,ROTARY INTERNATIONAL,IL,60201,,non-profit,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,1,0,2423865,0,10
H7A5LPKVM3N9,2,1,1,1,Baltimore,520607909,"Jewish Community Services, Inc.",MD,21215,,non-profit,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,2,1155267,0,20
PPQZL6BDFM65,5,1,1,1,Russell,742842747,"West Central Kansas Association, Inc.",KS,67665,,non-profit,2023,2023,2023,2023,0,0,0,0,5,3,0,0,4,0,0,1222219,1,50
E37GPE1G1XK6,2,4,1,4,PLATTSBURGH,141494810,JOINT COUNCIL FOR ECONOMIC OPPORTUNITY OF CLINTON & FRANKLIN COUNTIES,NY,12901,,non-profit,2025,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,0,24565297,0,20
PD5TPJN278N5,2,4,2,4,Lynchburg,475194456,"Community Access Network, Inc.",VA,24504,,non-profit,2024,2023,2022,2021,0,0,0,0,0,0,0,0,0,1,0,7901024,0,20
X9L9QN4NM5H7,7,1,1,1,DANVILLE,231867460,CMSU BEHAVORIAL HEALTH AND DEVELOPMENT SERVICES,PA,17821,,local,2022,2022,2022,2022,0,0,0,0,0,7,0,0,0,0,7,2933271,1,70
CW6WBFGVE216,2,3,2,3,ADDISON,200690969,"CLIFF VIEW VILLAGE III, INC.",TX,750012041,,non-profit,2024,2023,2022,2022,0,0,0,0,0,0,0,0,2,1,0,5535990,0,20
E32DU1ENZTJ9,2,4,1,4,PHILADELPHIA,474229584,KIPP DUBOIS CHARTER SCHOOL,PA,19131,,non-profit,2025,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,2,9139974,0,20
QHKGJT9UK4T5,1,3,1,3,EL CAJON,953140767,"MCALISTER INSTITUTE FOR TREATMENT AND EDUCATION, INC.",CA,920201651,,non-profit,2024,2022,2022,2022,0,0,0,0,0,0,0,0,1,1,1,7837587,0,10
PQLDK3TL8FN7,3,3,3,4,KIRKLAND,910844563,KING COUNTY PUBLIC HOSPITAL DISTRICT #2 DBA EVERGREEN HEALTHCARE,WA,98034,,local,2024,2024,2022,2022,0,0,0,0,1,0,0,0,2,0,2,70620246,1,30
JB5AM4APWFV5,1,3,1,3,ALEXANDRIA,721259853,"MONTROSE VOA ELDERLY HOUSING, INC (CENTENNIAL TOWER)",VA,22314,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,0,8712003,0,10
J64WJR1ER1K6,2,1,1,1,Hobart,356001058,City of Hobart,IN,46342,,local,2024,2024,2024,2024,0,0,0,0,2,1,0,0,0,2,0,3262130,0,20
NBUPML1KFHZ1,2,3,1,3,WEST BRANCH,381911267,DISTRICT HEALTH DEPARTMENT NO. 2,MI,48661,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,2,0,2,7065059,0,20
LKC5AFKJ41C5,6,3,1,3,YREKA,942679692,PLANNING AND SERVICE AREA 2 AREA AGENCY ON AGING,CA,96097,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,6,6779067,1,60
ES5SZUG8ZHL8,1,3,1,3,LA VERNE,956000732,CITY OF LA VERNE,CA,91750,,local,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,1,22118620,0,10
YS88Q7Q8D285,47,3,3,3,MINNEAPOLIS,464392267,UNIVERSAL ACADEMY CHARTER SCHOOL,MN,55406,,local,2024,2024,2022,2022,0,0,0,0,15,3,0,0,0,15,12,4215408,1,470
H1CUT7PWQDY3,18,1,1,1,HONOLULU,990273765,PAPA OLA LOKAHI,HI,96813,,non-profit,2022,2022,2022,2022,0,0,0,0,12,0,0,0,0,0,6,7472635,1,180
KNKLDV3QLKN3,2,4,2,4,RUSSELLVILLE,716520348,"VALLEY HOUSING, INC.",AR,72811,,non-profit,2025,2024,2023,2022,0,0,0,0,0,0,0,0,0,1,0,3607067,0,20
HFEFPN1L2US5,20,3,3,3,CHICAGO,366006541,"COOK COUNTY, ILLINIOS",IL,60602,14,local,2024,2024,2022,2022,0,0,0,0,0,0,0,0,3,4,20,1281194422,1,200
CQXLDH469E67,2,3,1,3,LAKEWOOD,911577469,CENTER FOR INDEPENDENCE,WA,98499,,non-profit,2024,2024,2024,2022,0,0,0,0,0,0,0,0,2,0,2,2517846,0,20
JQNWNLUK2KL3,13,3,2,3,BOISE,231969973,"THE PEREGRINE FUND, INC.",ID,83709,,non-profit,2024,2024,2023,2022,0,0,0,0,0,0,0,0,6,7,13,5134102,1,130
FYDWAAP84ZE5,28,4,4,4,Hoquiam,943252669,Coastal Harvest,WA,98550,,non-profit,2024,2024,2021,2021,0,0,0,0,28,13,0,0,8,17,0,7131984,1,280
EL9HDJZHRSN6,2,4,1,4,DENVER,742499946,MENTAL HEALTH CENTER OF DENVER,CO,80222,,non-profit,2025,2024,2024,2022,0,0,0,0,2,2,0,0,2,0,0,39424329,0,20
W2XFRDRA2P17,2,3,1,3,BLACK CREEK,586000196,BRYAN COUNTY BOARD OF EDUCATION,GA,31308,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,2,0,2,45925927,0,20
LH91T5HN1973,3,4,1,4,STOCKTON,942497046,SAN JOAQUIN COUNTY CHILD ABUSE PREVENTION COUNCIL,CA,95202,,non-profit,2025,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,3,26058312,1,30
DVCQNU28ME87,1,1,1,1,Garden City,237209731,"Life's WORC, Inc.",NY,11530,,non-profit,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,0,1006451,0,10
LJKEU4ZMM5N5,5,2,1,2,WASHINGTON,522165100,"VACCINATE YOUR FAMILY, INC",DC,20002,,non-profit,2023,2022,2022,2022,0,0,0,0,5,0,0,0,0,0,0,1946720,1,50
FMU5HG2PQH75,2,3,1,3,DUARTE,311538768,Bandera Senior Housing Corporation,CA,91010,,non-profit,2024,2022,2022,2022,0,0,0,0,0,2,0,0,2,0,2,16233809,0,20
WZA5SJ4PNCV3,8,2,1,2,Quincy,942526917,Plumas Unified School District,CA,95971,,local,2024,2023,2023,2023,0,0,0,0,0,0,0,0,0,1,0,10289228,1,80
DXM2FNNMLXF3,3,3,1,3,SKAGWAY,926000088,MUNICIPALITY OF SKAGWAY,AK,99840,,local,2024,2022,2022,2022,0,0,0,0,3,3,0,0,3,0,0,14817935,1,30
GQUZWMGJNDP4,1,3,1,3,BEVERLY,046001379,CITY OF BEVERLY,MA,01915,,local,2024,2024,2024,2022,0,0,0,0,0,0,0,0,0,0,1,34275490,0,10
HAW8D5MS9JE4,1,3,1,3,LOS ANGELES,954498834,LOS ANGELES HOMELESS SERVICES AUTHORITY,CA,90017,14,unknown,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,1,1,463795552,0,10
E8XENNCMZNL5,13,3,3,3,IOWA FALLS,426037830,IOWA FALLS COMMUNITY SCHOOL DISTRICT,IA,50126,,local,2024,2024,2022,2022,0,0,0,0,13,0,0,0,0,13,0,4636850,1,130
FTTKVSMN5JK1,2,3,1,3,COLUMBUS,201535531,HEGEMON CREST SENIOR HOUSING INC.,OH,43219,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,1,0,0,10833488,0,20
CH9XY8AX7BD8,3,3,1,3,Escondido,956000708,City of Escondido,CA,92025,,local,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,2,48369470,1,30
H77AVLJNZL46,5,3,3,3,LAS CRUCES,856004324,United Way of Southwest New Mexico,NM,88004,,non-profit,2024,2024,2022,2022,0,0,0,0,5,0,0,0,0,2,0,34683304,1,50
PL3MLMD6SSM7,2,3,2,3,MARSHALLTOWN,426004934,CITY OF MARSHALLTOWN,IA,50158,,local,2024,2024,2023,2022,0,0,0,0,1,1,0,0,0,0,1,24750697,0,20
D7D9BJC4AMP5,2,3,1,3,JESUP,586000343,WAYNE COUNTY BOARD OF EDUCATION,GA,31545,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,2,0,2,49801497,0,20
ZJNCXC145VH5,4,1,1,1,WACO,742743798,"CATHERINE BOOTH RESIDENCE INC., A TEXAS CORPORATION",TX,76708,,non-profit,2022,2022,2022,2022,0,0,0,0,2,4,0,0,0,0,2,4462140,1,40
TKPGRPA6GCE9,3,3,1,3,WEST MONROE,726001497,"CITY OF WEST MONROE, LOUISIANA",LA,71291,,local,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,2,1,21070251,1,30
FMGZQ6JRJ8W1,7,2,2,2,GRANTS PASS,263161884,"COLLEGE DREAMS, INC",OR,975261670,,non-profit,2023,2023,2022,2022,0,0,0,0,1,0,0,0,0,1,5,2054058,1,70
WW2VTNKV6GJ6,10,3,1,3,GLENWOOD SPRINGS,840567768,COLORADO MOUNTAIN COLLEGE,CO,81601,,higher-ed,2024,2023,2023,2022,0,0,0,0,0,0,0,0,8,0,10,39623008,1,100
LFSCUPM9TZX9,19,2,1,3,LAKEWOOD,841592286,TRIPLE BOTTOM LINE FOUNDATION,CO,802144252,,non-profit,2023,2023,2023,2022,0,0,0,0,19,0,0,0,0,0,0,12556867,1,190
PCWMNA2JK646,11,2,2,2,ST. AUGUSTINE,591157081,"FLAGLER COLLEGE, INC.",FL,32084,,higher-ed,2023,2023,2022,2022,0,0,0,0,0,0,0,0,0,2,11,44324764,1,110
JUPTW7BE56G6,1,4,1,4,Lexington,626000662,"Henderson County, Tennessee",TN,38351,,local,2025,2022,2022,2022,0,0,0,0,0,1,0,0,1,0,0,39447797,0,10
KDX5Y29YQUL1,4,3,1,3,HOUSTON,741152597,MEMORIAL HERMANN HEALTH SYSTEM,TX,77024,93,non-profit,2024,2023,2023,2022,0,0,0,0,4,0,0,0,4,0,0,418140879,1,40
RGJDLNLU39L9,6,3,1,3,PIEDMONT,731020626,PIEDMONT PUBLIC SCHOOLS,OK,73078,,local,2024,2023,2023,2022,0,0,0,0,0,0,0,0,6,0,6,11355512,1,60
DHK7SF3MLT23,1,3,1,3,WORTHINGTON,311399590,"LUTHERAN SOCIAL SERVICES OF CENTRAL OHIO DELAWARE HOUSING, INC.",OH,43085,,non-profit,2024,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,1,7785923,0,10
WZR4KM9CBTV3,8,3,3,3,COLUMBIA,436000810,"CITY OF COLUMBIA, MISSOURI",MO,65203,,local,2024,2024,2022,2022,0,0,0,0,0,0,0,0,0,4,8,74118700,1,80
HQPMEAYRK9A5,7,3,1,3,ELKHART,356001016,CITY OF ELKHART,IN,46516,,local,2024,2022,2022,2022,0,0,0,0,7,6,0,0,2,4,0,42372735,1,70
L2P6BNF9SJ33,1,4,1,4,PALOS PARK,366004336,PALOS COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 118,IL,60464,,local,2025,2022,2022,2022,0,0,0,0,1,0,0,0,0,0,0,7626760,0,10
MLG9UF64QVM5,20,2,2,2,PEKIN,351079441,EAST WASHINGTON SCHOOL CORPORATION,IN,47165,,local,2024,2024,2022,2022,0,0,0,0,20,14,0,0,0,5,0,11779170,1,200
M7WGGJ8WBLL3,3,1,1,1,LANGDON,020269789,FALL MOUNTAIN REGIONAL SCHOOL DISTRICT,NH,03602,,local,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,0,3669317,1,30
CM7XAYKLGUR7,2,1,1,1,BROOKLYN,112632404,"FDNY FOUNDATION, INC.",NY,11201,,non-profit,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,2,943649,0,20
DKWCDC2AK2G2,1,3,1,3,MARION,311319181,"UNITED CHURCH RESIDENCES OF ELLICOTT, NY, INC. D/B/A CHAUTAUQUA COLONY",OH,43302,,non-profit,2024,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,1,6887366,0,10
FYKPNXZT2NZ8,3,2,1,2,WASHINGTONVILLE,141705132,"HUB II HOUSING DEVELOPMENT FUND CO., INC.",NY,10992,,local,2023,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,0,6408454,1,30
SG2PBJ3ANUW2,4,1,1,1,Live Oak,590472323,Suwannee Valley Electric Cooperative,FL,32064,,non-profit,2024,2024,2024,2024,0,0,0,0,4,0,0,0,0,4,0,20248928,1,40
YGH3MMRLXE54,38,4,4,4,Waverly,426039259,Waverly Shell Rock Community School District,IA,50677,,local,2025,2025,2022,2022,0,0,0,0,38,0,0,0,0,38,0,6515588,1,380
F995DBS4SRN3,1424,3,3,3,Reno,886000024,Nevada System of Higher Education,NV,89512,84,higher-ed,2024,2024,2022,2022,0,0,0,0,566,466,0,0,106,299,858,2279323145,1,14240
KSBJS2ZLDPX1,2,1,1,1,HUGHES,920143182,CITY OF HUGHES,AK,99745,,state,2023,2023,2023,2023,0,0,0,0,0,0,0,0,0,0,2,1230681,0,20
UHKSKWK7DDQ5,1,2,1,2,Madison,396092644,"Bayview Foundation, Inc.",WI,53715,,non-profit,2024,2023,2023,2023,0,0,0,0,1,0,0,0,0,0,0,4049435,0,10
LND2JHLKY6L6,4,3,2,3,BARRIGADA,980040743,CATHOLIC CHARITIES OF THE DIOCESE OF AGANA DBA CATHOLIC SOCIAL SERVICE,GU,969130000,,non-profit,2024,2024,2022,2022,0,0,0,0,2,2,0,0,2,0,2,6759394,1,40
D2NMWAFNE3K3,5,2,2,2,Britt,421411751,West Hancock Community School District,IA,50423,,local,2023,2023,2022,2022,0,0,0,0,5,0,0,0,0,4,0,2061957,1,50
FKD3W7PNP364,5,1,1,1,Willow Springs,366004329,Willow Springs School District 108,IL,60480,,local,2024,2024,2024,2024,0,0,0,0,0,0,0,0,0,0,0,1067887,1,50
U4SCDG6B6NM8,8,4,2,4,San Antonio,741109633,Trinity University,TX,78212,,higher-ed,2025,2025,2022,2022,0,0,0,0,0,0,0,0,0,1,6,73008663,1,80
C5EGZ77W7E98,5,3,3,3,COLUMBUS,356000125,BARTHOLOMEW COUNTY,IN,47201,,local,2024,2024,2022,2022,0,0,0,0,5,3,0,0,0,3,0,16995916,1,50
