uei,years_audited,audit_reports_count,city,ein,entity_name,state,zip,cognizant_agency,entity_type,latest_audit_year,earliest_audit_year,going_concern_count,internal_control_def_count,low_risk_count,material_weakness_gen_count,material_weakness_count,modified_opinion_count,noncompliance_count,prior_findings_count,questioned_costs_count,repeat_finding_count,significant_deficiency_count,total_expenditures,is_problem_entity,risk_score,recipient_name,recipient_state,recipient_city,total_funding,total_obligated,total_awards,program_count,funding_num
HJD6G4D6TJY5,3,3,STANFORD,941156365,STANFORD UNIVERSITY,CA,943052004,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,0,3105765818,1,50,THE LELAND STANFORD JUNIOR UNIVERSITY,CA,STANFORD,4685804291.47,668719446,11907,111,4685804291.47
GM1XX56LEP58,3,3,Philadelphia,231352685,University of Pennsylvania,PA,19104,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,8,0,3983706723,1,190,"TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA, THE",PA,PHILADELPHIA,4663797419.4,923440482,12055,118,4663797419.4
MKAGLD59JRL1,3,3,PITTSBURGH,250965591,UNIVERSITY OF PITTSBURGH OF THE COMMONWEALTH SYS. OF HIGHER EDUCATION,PA,15260,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,1,0,18,3791436882,1,180,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,PITTSBURGH,4520500772.08,772784041.86,11445,131,4520500772.08
NT29R9PE2MF8,3,3,SANTE FE,856000565,STATE OF NEW MEXICO PUBLIC EDUCATION DEPARTMENT,NM,87501,84,state,2024,2022,0,0,0,0,16,16,0,0,17,38,41,2941029197,1,570,STATE OF NEW MEXICO PUBLIC EDUCATION DEPARTMENT,NM,SANTA FE,4496648296.23,1801997237.45,252,29,4496648296.23
FL6GV84CKN57,3,3,New Haven,060646973,Yale University,CT,06520,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,0,2762494996,1,140,YALE UNIV,CT,NEW HAVEN,4096008044.27,664242150.94,10349,100,4096008044.27
L6NFUM28LQM5,3,3,ST. LOUIS,430653611,WASHINGTON UNIVERSITY,MO,631121408,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,32,0,0,2623208091,1,420,"WASHINGTON UNIVERSITY, THE",MO,SAINT LOUIS,4007996164.21,559651044,9627,103,4007996164.21
FPN9K4TA97H7,3,3,AUSTIN,742481167,"SOUTHWEST KEY PROGRAMS, INC. AND AFFILIATES",TX,78721,93,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,70,0,2556495548,1,700,SOUTHWEST KEY PROGRAMS INC,TX,AUSTIN,3882630746.54,3120628571.24,109,5,3882630746.54
G3BHWLLFFLD4,3,3,MONTGOMERY,636000619,STATE OF ALABAMA,AL,361302602,93,state,2024,2022,0,0,0,0,6,1,0,0,9,3,8,45710693522,1,150,STATE OF ALABAMA DEPARTMENT OF FINANCE,AL,MONTGOMERY,3781201574.44,7471990047.49,26,5,3781201574.44
VRAASTY11EA3,3,3,Durham,237413005,Family Health International,NC,27701,98,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,13,15,2103213720,1,210,FAMILY HEALTH INTERNATIONAL,NC,DURHAM,3522393985.63,5553357852,736,31,3522393985.63
NDHBBJ4B1LN5,3,3,CHICAGO,366005820,CITY OF CHICAGO,IL,60602,93,local,2024,2022,0,0,0,0,1,1,0,0,1,0,17,3568850838,1,180,CITY OF CHICAGO,IL,CHICAGO,3402180542.77,3036013903.54,61,7,3402180542.77
JNZ3AKDC5Y94,2,2,CHARLESTON,550526580,STATE OF WEST VIRGINIA,WV,25305,93,state,2024,2023,0,0,0,0,348,37,0,0,50,177,55,17739614788,1,4100,EXECUTIVE OFFICE STATE OF WEST VIRGINIA,WV,CHARLESTON,3288902872.44,4922860671.93,40,6,3288902872.44
RC7USPUUVJK3,3,3,BALTIMORE,135563422,CATHOLIC REFLIEF SERVICES - US CONFERENCE OF CATHOLIC BISHOPS,MD,21201,98,non-profit,2024,2022,0,0,0,0,0,0,0,0,2,1,10,2382584627,1,110,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,MD,BALTIMORE,3236571232.64,1681924716,883,19,3236571232.64
WR9DKNPUJVY8,3,3,SAINT PAUL,416008898,METROPOLITAN COUNCIL OF THE TWIN CITIES AREA,MN,551011805,20,local,2024,2022,0,0,0,0,4,4,0,0,0,4,4,1869147405,1,80,METROPOLITAN COUNCIL MINNESOTA,MN,MINNEAPOLIS,3185186704.86,4718280632,477,9,3185186704.86
MKQ9AQH7R2S5,3,3,LOS ANGELES,956000927,COUNTY OF LOS ANGELES,CA,900122766,93,local,2024,2022,0,0,0,0,64,8,0,0,2,47,17,12478977724,1,810,COUNTY OF LOS ANGELES,CA,LOS ANGELES,3170717059.12,3010643648.42,8,2,3170717059.12
EJEEH8S7HW17,3,4,ANNAPOLIS,526002033,STATE OF MARYLAND,MD,21404,93,state,2024,2022,0,0,0,0,107,107,0,0,37,85,180,94218126776,1,2870,STATE OF MARYLAND,MD,ANNAPOLIS,3170666262,4112912232,9,1,3170666262
RYDDMCDJBYM8,3,4,Des Moines,420933966,State of Iowa,IA,50309,93,state,2024,2022,0,0,0,0,2,2,0,0,5,51,120,49153843391,1,1220,IOWA DEPARTMENT MANAGEMENT,IA,DES MOINES,3159861739.98,7272649733.67,21,4,3159861739.98
KW2LA3N6EY79,1,1,Helena,810302402,State of Montana,MT,59620,93,state,2023,2023,0,0,0,0,2198,2188,0,0,940,1081,897,10482913231,1,31190,MONTANA DEPARTMENT OF ADMINISTRATION,MT,HELENA,3111711654.98,4129062620.4,33,6,3111711654.98
JZF5KDMNGKF6,3,3,SAN JUAN,660466229,PUERTO RICO PUBLIC HOUSING ADMINISTRATION,PR,00936,14,local,2024,2022,0,0,0,0,0,0,0,0,0,8,7,1448948287,1,100,ADMINISTRATION DE VIVIENDA PUBLICA,PR,SAN JUAN,3109052348,997537084,5663,8,3109052348
G88KLJR3KYT5,3,3,LOS ANGELES,951642394,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,90089,84,higher-ed,2024,2022,0,0,0,0,0,0,0,0,2,3,0,4052152999,1,930,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,LOS ANGELES,3005237813.46,1007536908,6451,108,3005237813.46
NSA8T7PLC9K3,3,3,PROVIDENCE,056000522,STATE OF RHODE ISLAND,RI,02908,93,state,2024,2022,0,0,0,0,136,70,0,0,117,227,239,20689771036,1,3970,STATE OF RHODE ISLAND,RI,PROVIDENCE,2965034397.41,2641369914.22,27,5,2965034397.41
UYLKBRENAPG5,3,3,BETHESDA,521317896,HENRY M. JACKSON FOUNDATION FOR THE ADVANCEMENT OF MILITARY MEDICINE,MD,20817,12,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,5,12,1599078036,1,120,"THE HENRY M. JACKSON FOUNDATION FOR THE ADVANCEMENT OF MILITARY MEDICINE, INC.",MD,BETHESDA,2942119983.64,12129278588.88,2231,27,2942119983.64
PBWFLKLC8Q84,1,1,SANTA FE,856000565,NEW MEXICO DEPARTMENT OF FINANCE AND ADMINISTRATION,NM,87501,10,state,2022,2022,0,0,0,0,0,0,0,0,1,0,3,193918035,1,30,"FINANCE & ADMINISTRATION, NEW MEXICO DEPARTMENT OF",NM,SANTA FE,2809497830.02,4230753066.84,43,7,2809497830.02
W1N3LFTZ82K4,3,3,Boise,826000952,State of Idaho,ID,837200011,93,state,2024,2022,0,0,0,0,94,54,0,0,20,51,140,16124872632,1,2370,EXECUTIVE OFFICE OF THE STATE OF IDAHO,ID,BOISE,2807359338.38,2024598342.32,19,4,2807359338.38
KVJUFT3L9K14,2,2,OKLAHOMA CITY,736017987,STATE OF OKLAHOMA,OK,73105,93,state,2023,2022,0,0,0,0,455,308,0,0,275,468,414,28429670211,1,9410,EXECUTIVE OFFICE OF STATE OF OKLAHOMA,OK,OKLAHOMA CITY,2778211532.13,2525591471.22,33,4,2778211532.13
Y8CWNJRCNN91,3,3,URBANA,376000511,UNIVERSITY OF ILLINOIS,IL,61801,84,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,28,45,4736694709,1,450,UNIVERSITY OF ILLINOIS,IL,URBANA,2717116464.32,1103528862,6590,163,2717116464.32
GYLUH9UXHDX5,3,3,NASHVILLE,352528741,VANDERBILT UNIVERSITY MEDICAL CENTER,TN,372152691,93,non-profit,2024,2022,0,0,0,0,4,1,0,0,1,4,3,1938172618,1,70,VANDERBILT UNIVERSITY MEDICAL CENTER,TN,NASHVILLE,2657738899.57,951325860.4,4501,75,2657738899.57
C8H9CNG1VBD9,2,2,NEW YORK,136171197,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,100296574,93,higher-ed,2023,2022,0,0,0,0,868,0,0,0,0,444,0,1354419759,1,8680,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,NEW YORK,2610878562.65,1139889989.76,5485,57,2610878562.65
R28EKN92ZTZ9,3,3,EAST LANSING,386005984,MICHIGAN STATE UNIVERSITY,MI,48824,84,higher-ed,2024,2022,0,0,0,0,32,27,0,0,22,17,12,2777366794,1,440,MICHIGAN STATE UNIVERSITY,MI,EAST LANSING,2589835817.35,5016494609.58,5718,186,2589835817.35
ZUFJEU4NMK52,3,3,AUGUSTA,016000001,STATE OF MAINE,ME,043330014,93,state,2024,2022,0,0,0,0,273,153,0,0,86,463,451,16905320622,1,7240,STATE OF MAINE,ME,AUGUSTA,2582558941.42,1782143045.55,220,6,2582558941.42
YND4PLMC9AN7,3,3,BIRMINGHAM,636005396,THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941801,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,1,0,0,2237885387,1,140,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,BIRMINGHAM,2557627716.56,668732627.94,5756,115,2557627716.56
KADSKJ11BLH5,2,2,BISMARCK,450309764,STATE OF NORTH DAKOTA,ND,58505,93,state,2024,2022,0,0,0,0,38,39,0,0,44,141,214,13538912360,1,2530,STATE OF NORTH DAKOTA,ND,BISMARCK,2554477769.87,4276544249.12,20,4,2554477769.87
SHCJHF9W2LN7,3,3,HONOLULU,990266482,"DEPARTMENT OF EDUCATION, STATE OF HAWAII",HI,96813,84,local,2024,2022,0,0,0,0,2,2,0,0,0,1,0,1462419072,1,110,HAWAII STATE DEPARTMENT OF EDUCATION,HI,HONOLULU,2467651105.79,819965148.64,357,33,2467651105.79
KG76WYENL5K1,2,2,EVANSTON,362167817,NORTHWESTERN UNIVERSITY,IL,602081112,93,higher-ed,2023,2022,0,0,0,0,0,0,0,0,0,0,5,1797480962,1,50,NORTHWESTERN UNIVERSITY,IL,EVANSTON,2387783378.16,640171510.44,5526,64,2387783378.16
SZEGXHQ2K1W3,3,3,SAN FRANCISCO,946002959,HOUSING AUTHORITY OF THE CITY AND COUNTY OF SAN FRANCISCO,CA,94124,14,local,2024,2022,0,0,0,0,10,10,0,0,9,10,8,1272092710,1,180,SAN FRANCISCO HOUSING AUTHORITY,CA,SAN FRANCISCO,2362887058,644891250,1104,7,2362887058
GCU8PW8ZDXN8,3,3,OLYMPIA,916001089,STATE OF WASHINGTON C/O OFFICE OF FINANCIAL MANAGEMENT,WA,985043127,93,state,2024,2022,0,0,0,0,1317,389,0,0,405,827,2929,87543116346,1,43500,WASHINGTON STATE OFFICE OF FINANCIAL MANAGEMENT,WA,OLYMPIA,2302295608.13,3265979356.77,348,11,2302295608.13
JFMKAENLGN81,3,4,HOUSTON,760454514,HARRIS COUNTY- 7 MONTH AUDIT,TX,770021817,14,local,2024,2022,0,0,0,0,0,0,0,0,6,0,55,2205401957,1,550,HARRIS COUNTY,TX,HOUSTON,2301667140.29,2131284491.58,226,36,2301667140.29
FXKMA43NTV21,3,3,HOUSTON,741613878,BAYLOR COLLEGE OF MEDICINE,TX,77030,93,higher-ed,2024,2022,0,0,0,0,678,0,0,0,2,0,3,1526065124,1,6810,BAYLOR COLLEGE OF MEDICINE,TX,HOUSTON,2215046922.25,940699833.76,4936,79,2215046922.25
ZUE9HKT2CLC9,3,4,CHICAGO,362177139,THE UNIVERSITY OF CHICAGO,IL,60637,93,higher-ed,2024,2022,0,0,0,0,4113,0,0,0,8,3032,943,2584317285,1,50560,UNIVERSITY OF CHICAGO,IL,CHICAGO,2213145157.71,747081978,5608,93,2213145157.71
NGMZTEWW6G49,2,2,AUGUSTA,010458004,CHILD DEVELOPMENT SERVICES,ME,04333,,local,2023,2022,0,0,0,0,11,21,0,0,1,16,16,15850521,1,270,MAINE DEPARTMENT OF EDUCATION,ME,AUGUSTA,2210888785.82,857413119.06,337,33,2210888785.82
NPM2J7MSCF61,3,3,UNIVERSITY PARK,246000376,THE PENNSYLVANIA STATE UNIVERSITY,PA,16802,84,higher-ed,2024,2022,0,0,0,0,3,0,0,0,2,0,2024,4409942992,1,20290,THE PENNSYLVANIA STATE UNIVERSITY,PA,UNIVERSITY PARK,2209056873.81,520713603.78,6910,161,2209056873.81
G56PUALJ3KT5,3,3,ITHACA,150532082,CORNELL UNIVERSITY,NY,148532801,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,0,2834216843,1,6100,CORNELL UNIVERSITY,NY,ITHACA,2164114096.08,502952665,5799,137,2164114096.08
RM4HCLL1LD75,4,4,Washington,521934645,District of Columbia Housing Authority,MD,20002,14,local,2024,2021,0,0,0,0,102,99,0,0,6,64,10,1460951710,1,1120,DC HOUSING AUTHORITY,DC,WASHINGTON,2132854305.57,434360717,1277,10,2132854305.57
YRXVL4JYCEF5,3,3,WEST LAFAYETTE,356002041,PURDUE UNIVERSITY,IN,47906,84,higher-ed,2024,2022,0,0,0,0,1,0,0,0,0,13,21,2101744174,1,220,PURDUE UNIVERSITY,IN,WEST LAFAYETTE,2103756246.99,347271681,6185,172,2103756246.99
VEB2J5QVVNN9,3,6,SACATON,860107023,GILA RIVER INDIAN COMMUNITY - DEPARTMENT OF TRIBAL PROGRAMS AND ADMIN,AZ,851472160,15,tribal,2024,2022,0,0,0,0,2,2,0,0,0,0,1,952308509,1,30,GILA RIVER INDIAN COMMUNITY,AZ,SACATON,2001015134.21,10147761936,425,47,2001015134.21
KV6CGYPGAQN8,2,2,Little Rock,710847443,State of Arkansas,AR,72201,93,state,2024,2023,0,0,0,0,43,17,0,0,35,32,33,26017233578,1,760,EXECUTIVE OFFICE OF THE STATE OF ARKANSA,AR,LITTLE ROCK,1992968960.1,3577845941.16,8,3,1992968960.1
CJJGNN7KKH58,3,4,DELAND,660431678,THE VIRGIN ISLANDS HSG FINANCE AUTHORITY - PARADISE MILLS APARTMENTS,FL,32720,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,2,0,229092241,1,50,VI HOUSING FINANCE AUTHORITY,VI,ST THOMAS,1964808341.12,1853471839,93,8,1964808341.12
NPSNT86JKN51,3,3,Portland,931176109,Oregon Health & Science University,OR,97239,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,644,1711393979,1,6440,OREGON HEALTH & SCIENCE UNIVERSITY,OR,PORTLAND,1924205870.24,1212743550,4426,91,1924205870.24
K3LGS8BABNH9,2,2,Philadelphia,236003047,City of Philadelphia,PA,19102,21,local,2023,2022,0,0,0,0,2,0,0,0,8,2,7,2240657938,1,170,CITY OF PHILADELPHIA,PA,PHILADELPHIA,1825061592.96,1646342758.54,42,12,1825061592.96
KDYABRXCN245,3,3,Okmulgee,730932018,Muscogee Creek Nation,OK,74447,21,tribal,2024,2022,0,0,0,0,19,0,0,0,2,418,3,1023520684,1,4240,MUSCOGEE CREEK NATION,OK,OKMULGEE,1807980422.02,6417982136,437,62,1807980422.02
GS94M2VMNMJ3,3,3,DETROIT,386004606,"CITY OF DETROIT, MICHIGAN",MI,48226,14,local,2024,2022,0,0,0,0,117,0,0,0,4,43,20,954630498,1,1370,CITY OF DETROIT,MI,DETROIT,1800927983.28,1105616149.6,344,21,1800927983.28
VYJKCDDX9G95,3,3,NEW YORK,135660870,"INTERNATIONAL RESCUE COMMITTEE, INC.",NY,10168,98,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,39,1756988007,1,390,"INTERNATIONAL RESCUE COMMITTEE, INC.",NY,NEW YORK,1755689645.63,923790916,794,27,1755689645.63
JKY3SX6QGC23,3,3,HONOLULU,990258224,HIGHWAYS DIVISION DEPARTMENT OF TRANSPORTATION STATE OF HAWAII,HI,96813,20,state,2024,2022,0,0,0,0,0,0,0,0,0,0,4,795518388,1,40,THE STATE OF HAWAII DEPARTMENT OF TRANSPORTATION,HI,HONOLULU,1728754299.8,290334785.18,2464,13,1728754299.8
KH6TMX6EA148,3,3,WASHINGTON,521344831,NATIONAL ENDOWMENT FOR DEMOCRACY,DC,20004,19,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,21,12,1037379970,1,210,NATIONAL ENDOWMENT FOR DEMOCRACY,DC,WASHINGTON,1726731808.36,1725376413.62,23,2,1726731808.36
V51BY26T73M5,3,3,Juneau,926001185,State of Alaska,AK,99811,93,state,2024,2022,0,0,0,0,73,70,0,0,44,97,159,17358039123,1,2360,"ALASKA, STATE OF",AK,JUNEAU,1649583113.46,1439352679.16,113,11,1649583113.46
Y2K4F9RPRRG7,3,3,Rochester,416011702,Mayo Clinic,MN,55905,93,non-profit,2024,2022,0,0,0,0,186,53,0,0,10,122,238,1423339605,1,4240,MAYO CLINIC,MN,ROCHESTER,1630225665.99,1113109848,3473,47,1630225665.99
HUPVNKH3FKK8,3,3,SEATTLE,916000977,HOUSING AUTHORITY OF THE CITY OF SEATTLE,WA,98109,14,local,2024,2022,0,0,0,0,11,0,0,0,51,1,54,909309708,1,650,SEATTLE HOUSING AUTHORITY,WA,SEATTLE,1617624683.44,326941134,635,11,1617624683.44
HFEFPN1L2US5,3,3,CHICAGO,366006541,"COOK COUNTY, ILLINIOS",IL,60602,14,local,2024,2022,0,0,0,0,0,0,0,0,3,4,20,1281194422,1,200,COOK COUNTY,IL,CHICAGO,1612377850.1,1610994862.84,30,4,1612377850.1
NSCKLFSSABF2,3,3,HONOLULU,996000354,UNIVERSITY OF HAWAII,HI,96822,84,higher-ed,2024,2022,0,0,0,0,0,0,0,0,8,4,1,1960482029,1,210,UNIVERSITY OF HAWAII,HI,HONOLULU,1587052243.32,414720004.35,3957,156,1587052243.32
M272P7XFJNN7,3,3,ANCHORAGE,920162721,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,AK,99508,93,tribal,2024,2022,0,0,0,0,38,9,0,0,0,7,14,1070794958,1,520,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,AK,ANCHORAGE,1566207985.58,16506601986,562,58,1566207985.58
